vous
pour
dans
elle
mais
plus
nous
avec
bien
était
comme
faire
cette
fait
rien
avait
quand
sans
sais
veux
alors
aussi
encore
très
tout
deux
jamais
suis
dire
votre
temps
même
tout
toujours
sont
voir
avait
fois
chose
